,country,region,population,region_population,article_title,revision_id,article_quality
0,Afghanistan,SOUTH ASIA,41.1,2008.6,Abas Basir,1098419766.0,C
1,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Baqi Turkistani,889226470.0,Stub
2,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Ghafar Lakanwal,943562276.0,Start
3,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Rahim Ayoubi,1108886061.0,Start
4,Afghanistan,SOUTH ASIA,41.1,2008.6,Ahmad Behzad,1103948295.0,Start
5,Afghanistan,SOUTH ASIA,41.1,2008.6,Ahmadullah Wasiq,1109361754.0,Start
6,Afghanistan,SOUTH ASIA,41.1,2008.6,Alhaj Mutalib Baig,1111494041.0,Start
7,Afghanistan,SOUTH ASIA,41.1,2008.6,Amir Muhammad Akhundzada,1069322182.0,Start
8,Afghanistan,SOUTH ASIA,41.1,2008.6,Atiqullah Atifmal,1112407669.0,Start
9,Afghanistan,SOUTH ASIA,41.1,2008.6,Aziza Ahmadyar,1087211008.0,Start
10,Afghanistan,SOUTH ASIA,41.1,2008.6,Bashir Ahmad Bezan,1060707209.0,Start
11,Afghanistan,SOUTH ASIA,41.1,2008.6,Cheragh Ali Cheragh,1087211968.0,Start
12,Afghanistan,SOUTH ASIA,41.1,2008.6,Haroon al-Afghani,1095102390.0,B
13,Afghanistan,SOUTH ASIA,41.1,2008.6,Ismael Balkhi,1112534409.0,Start
14,Afghanistan,SOUTH ASIA,41.1,2008.6,Jan Baz,997027082.0,Stub
15,Afghanistan,SOUTH ASIA,41.1,2008.6,Majah Ha Adrif,852404094.0,Start
16,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Asim Asim,1013838830.0,Stub
17,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Ghous Bashiri,1102150221.0,Start
18,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Sarwar Ahmedzai,1038918070.0,Start
19,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Siddiq Chakari,1105913099.0,Stub
20,Afghanistan,SOUTH ASIA,41.1,2008.6,Muqadasa Ahmadzai,1082489593.0,Start
21,Afghanistan,SOUTH ASIA,41.1,2008.6,Nasrullah Baryalai Arsalai,1095526840.0,Start
22,Afghanistan,SOUTH ASIA,41.1,2008.6,Rafiullah Bidar,977208323.0,Stub
23,Afghanistan,SOUTH ASIA,41.1,2008.6,Shahjahan Noori,1099689043.0,GA
24,Afghanistan,SOUTH ASIA,41.1,2008.6,Tayyab Agha,1104998382.0,Start
25,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Ghani Ghani,1072441893.0,Stub
26,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Malik Hamwar,1100874645.0,Stub
27,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Samad Ghaus,1072271854.0,Stub
28,Afghanistan,SOUTH ASIA,41.1,2008.6,Aimal Faizi,1033383351.0,Stub
29,Afghanistan,SOUTH ASIA,41.1,2008.6,Anarkali Kaur Honaryar,1069574154.0,Start
30,Afghanistan,SOUTH ASIA,41.1,2008.6,Ashraf Ghani,1113195582.0,B
31,Afghanistan,SOUTH ASIA,41.1,2008.6,Elay Ershad,1102489654.0,Stub
32,Afghanistan,SOUTH ASIA,41.1,2008.6,Ezatullah (Nangarhar),947885788.0,Stub
33,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Ghaus,1115758710.0,Stub
34,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Haider Hamidi,1095018556.0,Start
35,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Muhammad Ghobar,1108886395.0,Stub
36,Afghanistan,SOUTH ASIA,41.1,2008.6,Hashmat Ghani Ahmadzai,1112933356.0,C
37,Afghanistan,SOUTH ASIA,41.1,2008.6,Mahboba Hoqomal,1092518990.0,Stub
38,Afghanistan,SOUTH ASIA,41.1,2008.6,Mirza Muhammad Ismail,1073524466.0,C
39,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Gul (Helmand Council),1092523687.0,Stub
40,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Nasim Faqiri,1098051193.0,Start
41,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Nazar Faqiri,1095525798.0,Stub
42,Afghanistan,SOUTH ASIA,41.1,2008.6,Muhammad Hashim Esmatullahi,949986748.0,Stub
43,Afghanistan,SOUTH ASIA,41.1,2008.6,Musa Hotak,1094201417.0,Start
44,Afghanistan,SOUTH ASIA,41.1,2008.6,Nasir Ahmad Durrani,988838315.0,Stub
45,Afghanistan,SOUTH ASIA,41.1,2008.6,Qutbuddin Hilal,1104423275.0,Start
46,Afghanistan,SOUTH ASIA,41.1,2008.6,Rangina Hamidi,1104280812.0,C
47,Afghanistan,SOUTH ASIA,41.1,2008.6,Sayed Zafar Hashemi,1112804808.0,Start
48,Afghanistan,SOUTH ASIA,41.1,2008.6,Shahnaz Himmeti,909966254.0,Stub
49,Afghanistan,SOUTH ASIA,41.1,2008.6,Sharif Ghalib,1041460606.0,B
50,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Karim Misaq,1052669338.0,Stub
51,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Sattar Mirzakwal,1044450376.0,Stub
52,Afghanistan,SOUTH ASIA,41.1,2008.6,Ahmad Massoud,1112608262.0,C
53,Afghanistan,SOUTH ASIA,41.1,2008.6,Ahmad Wali Massoud,1108236868.0,Start
54,Afghanistan,SOUTH ASIA,41.1,2008.6,Ahmed Wali Karzai,1090245979.0,GA
55,Afghanistan,SOUTH ASIA,41.1,2008.6,Ali Mohammad (politician),1050463798.0,Stub
56,Afghanistan,SOUTH ASIA,41.1,2008.6,Amin Karim,1106333491.0,C
57,Afghanistan,SOUTH ASIA,41.1,2008.6,Azizullah Lodin,1102817004.0,Start
58,Afghanistan,SOUTH ASIA,41.1,2008.6,Baran Khan Kudezai,1106151353.0,Start
59,Afghanistan,SOUTH ASIA,41.1,2008.6,Faizullah Kakar,1108932917.0,C
60,Afghanistan,SOUTH ASIA,41.1,2008.6,Farida Kuchi,1109436134.0,Start
61,Afghanistan,SOUTH ASIA,41.1,2008.6,Farzana Kochai,1079430136.0,Stub
62,Afghanistan,SOUTH ASIA,41.1,2008.6,Fazel Ahmed Manawi,1106464575.0,Stub
63,Afghanistan,SOUTH ASIA,41.1,2008.6,Hafizullah Shabaz Khail,1092416288.0,Start
64,Afghanistan,SOUTH ASIA,41.1,2008.6,Khadija Zahra Ahmadi,1115331693.0,Stub
65,Afghanistan,SOUTH ASIA,41.1,2008.6,Masoud Khalili,1103105365.0,GA
66,Afghanistan,SOUTH ASIA,41.1,2008.6,Moeen Marastial,1102907176.0,Start
67,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Daud Miraki,1112192884.0,C
68,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Khan (athlete),1070779097.0,Stub
69,Afghanistan,SOUTH ASIA,41.1,2008.6,Razaq Mamoon,1100189662.0,Start
70,Afghanistan,SOUTH ASIA,41.1,2008.6,Rouh Gul Khairzad,925562571.0,Stub
71,Afghanistan,SOUTH ASIA,41.1,2008.6,Said Tayeb Jawad,1093621927.0,C
72,Afghanistan,SOUTH ASIA,41.1,2008.6,Samoud Khan,1010948755.0,Start
73,Afghanistan,SOUTH ASIA,41.1,2008.6,Sayed Jalal,1078580238.0,Start
74,Afghanistan,SOUTH ASIA,41.1,2008.6,Sayed Jalal Karim,1060701067.0,Start
75,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Majid Samim,1098092701.0,Stub
76,Afghanistan,SOUTH ASIA,41.1,2008.6,Ali Maisam Nazary,1107279930.0,Start
77,Afghanistan,SOUTH ASIA,41.1,2008.6,Amrullah Saleh,1115022704.0,FA
78,Afghanistan,SOUTH ASIA,41.1,2008.6,Daoud Naji,1110983467.0,Start
79,Afghanistan,SOUTH ASIA,41.1,2008.6,Davood Moradian,1106284627.0,Stub
80,Afghanistan,SOUTH ASIA,41.1,2008.6,Fazal Haq Mujahid,1113267490.0,C
81,Afghanistan,SOUTH ASIA,41.1,2008.6,Gholam Rabani Nasher,916899472.0,Stub
82,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Faroq Nijrabi,1093612575.0,Stub
83,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Hassan Safi,987269301.0,Stub
84,Afghanistan,SOUTH ASIA,41.1,2008.6,Ghulam Mohammad Rigi,918256992.0,Stub
85,Afghanistan,SOUTH ASIA,41.1,2008.6,Hanifa Safi,994195074.0,Stub
86,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammed Tahir Omar,996093541.0,Stub
87,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammed Zia Salehi,889806024.0,Stub
88,Afghanistan,SOUTH ASIA,41.1,2008.6,Muhammad Arif Sarwari,1079170926.0,Start
89,Afghanistan,SOUTH ASIA,41.1,2008.6,Muhammad Yunus Nawandish,1111494390.0,C
90,Afghanistan,SOUTH ASIA,41.1,2008.6,Murad Quenili,1093963498.0,Stub
91,Afghanistan,SOUTH ASIA,41.1,2008.6,Nasrin Oryakhil,1097277701.0,Start
92,Afghanistan,SOUTH ASIA,41.1,2008.6,Nasruddin Mohseni,1095044526.0,Start
93,Afghanistan,SOUTH ASIA,41.1,2008.6,Rahmatullah Nabil,1112496538.0,Start
94,Afghanistan,SOUTH ASIA,41.1,2008.6,Saber Sangar,1019860497.0,Stub
95,Afghanistan,SOUTH ASIA,41.1,2008.6,Sardar Mohammad Nadir Naeem,1038680015.0,Stub
96,Afghanistan,SOUTH ASIA,41.1,2008.6,Sayed Nasim Mihanparast,1115496635.0,Stub
97,Afghanistan,SOUTH ASIA,41.1,2008.6,Sayyid Husayn,1095559301.0,Stub
98,Afghanistan,SOUTH ASIA,41.1,2008.6,Zabih-U-llah Ghazi Noristani,1001786762.0,Start
99,Afghanistan,SOUTH ASIA,41.1,2008.6,Zalmai Mujadidi,1104635001.0,Start
100,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Ghafor Zori,994023417.0,Stub
101,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Salam Zaeef,1106388504.0,GA
102,Afghanistan,SOUTH ASIA,41.1,2008.6,Abdul Zahir (Konar Education Minister),1097261199.0,Stub
103,Afghanistan,SOUTH ASIA,41.1,2008.6,Al-Haj Suliman Yari,1092426408.0,Stub
104,Afghanistan,SOUTH ASIA,41.1,2008.6,Awtar Singh,1115100619.0,Stub
105,Afghanistan,SOUTH ASIA,41.1,2008.6,Baktash Siawash,1111917754.0,Stub
106,Afghanistan,SOUTH ASIA,41.1,2008.6,Faramarz Tamanna,1106885861.0,C
107,Afghanistan,SOUTH ASIA,41.1,2008.6,Gul Ahmmad Yama,1060707715.0,Start
108,Afghanistan,SOUTH ASIA,41.1,2008.6,Hasan Ali Sultani,1060706902.0,Stub
109,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Hashem Taufiqui,1021308429.0,Start
110,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammad Shakir Kargar,1096574840.0,C
111,Afghanistan,SOUTH ASIA,41.1,2008.6,Mohammed Zaman,1108389318.0,Start
112,Afghanistan,SOUTH ASIA,41.1,2008.6,Nur ul-Haq Ulumi,1107429109.0,GA
113,Afghanistan,SOUTH ASIA,41.1,2008.6,Pacha Gul Wafadar,1020846299.0,Stub
114,Afghanistan,SOUTH ASIA,41.1,2008.6,Qari Ziauddin,1033608758.0,Start
115,Afghanistan,SOUTH ASIA,41.1,2008.6,Suhail Shaheen,1102910228.0,Start
