Date,FIPS,MMWR_week,Recip_County,Recip_State,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_5Plus,Administered_Dose1_Recip_5PlusPop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_5Plus,Series_Complete_5PlusPop_Pct,Series_Complete_5to17,Series_Complete_5to17Pop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Booster_Doses,Booster_Doses_Vax_Pct,Booster_Doses_5Plus,Booster_Doses_5Plus_Vax_Pct,Booster_Doses_12Plus,Booster_Doses_12Plus_Vax_Pct,Booster_Doses_18Plus,Booster_Doses_18Plus_Vax_Pct,Booster_Doses_50Plus,Booster_Doses_50Plus_Vax_Pct,Booster_Doses_65Plus,Booster_Doses_65Plus_Vax_Pct,Second_Booster_50Plus,Second_Booster_50Plus_Vax_Pct,Second_Booster_65Plus,Second_Booster_65Plus_Vax_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_5PlusPop_Pct_SVI,Series_Complete_5to17Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_5PlusPop_Pct_UR_Equity,Series_Complete_5to17Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Booster_Doses_Vax_Pct_SVI,Booster_Doses_12PlusVax_Pct_SVI,Booster_Doses_18PlusVax_Pct_SVI,Booster_Doses_65PlusVax_Pct_SVI,Booster_Doses_Vax_Pct_UR_Equity,Booster_Doses_12PlusVax_Pct_UR_Equity,Booster_Doses_18PlusVax_Pct_UR_Equity,Booster_Doses_65PlusVax_Pct_UR_Equity,Census2019,Census2019_5PlusPop,Census2019_5to17Pop,Census2019_12PlusPop,Census2019_18PlusPop,Census2019_65PlusPop
11/30/2022,47037,48,Davidson County,TN,97.8,"534,140",76.9,"528,666",81.6,"508,025",85.6,"477,755",86.7,"85,796",95,"470,074",67.7,"467,493",72.1,"43,773",45.1,"449,964",75.8,"423,720",76.9,"79,918",91.8,"238,123",50.7,"237,975",50.9,"234,002",52,"225,712",53.3,"119,521",68.2,"62,098",77.7,62282,52.1,38265,61.6,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
11/23/2022,47037,47,Davidson County,TN,97.8,"533,807",76.9,"528,405",81.5,"507,786",85.5,"477,528",86.7,"85,776",95,"469,787",67.7,"467,270",72.1,"43,720",45,"449,777",75.7,"423,550",76.9,"79,897",91.8,"237,713",50.6,"237,568",50.8,"233,688",52,"225,453",53.2,"119,392",68.1,"62,032",77.6,61728,51.7,38011,61.3,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
11/16/2022,47037,46,Davidson County,TN,97.8,"533,295",76.8,"527,994",81.5,"507,421",85.5,"477,193",86.6,"85,720",95,"469,400",67.6,"466,956",72,"43,661",45,"449,502",75.7,"423,295",76.8,"79,848",91.8,"237,002",50.5,"236,859",50.7,"233,111",51.9,"224,939",53.1,"119,144",68,"61,925",77.6,60622,50.9,37436,60.5,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
11/09/2022,47037,45,Davidson County,TN,97.7,"532,531",76.7,"527,437",81.4,"506,953",85.4,"476,757",86.5,"85,661",95,"468,788",67.5,"466,511",72,"43,548",44.9,"449,136",75.6,"422,963",76.8,"79,787",91.7,"236,024",50.3,"235,883",50.6,"232,364",51.7,"224,333",53,"118,862",67.9,"61,786",77.4,59197,49.8,36704,59.4,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
11/02/2022,47037,44,Davidson County,TN,97.7,"531,718",76.6,"526,776",81.3,"506,381",85.3,"476,219",86.4,"85,586",95,"468,147",67.4,"465,992",71.9,"43,430",44.7,"448,693",75.6,"422,562",76.7,"79,742",91.6,"235,065",50.2,"234,926",50.4,"231,570",51.6,"223,650",52.9,"118,504",67.8,"61,606",77.3,57578,48.6,35892,58.3,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
10/26/2022,47037,43,Davidson County,TN,97.7,"530,923",76.5,"526,083",81.2,"505,744",85.2,"475,610",86.3,"85,489",95,"467,501",67.3,"465,433",71.8,"43,356",44.7,"448,177",75.5,"422,077",76.6,"79,654",91.5,"234,067",50.1,"233,932",50.3,"230,711",51.5,"222,888",52.8,"118,081",67.6,"61,389",77.1,55346,46.9,34677,56.5,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
10/19/2022,47037,42,Davidson County,TN,97.7,"530,293",76.4,"525,555",81.1,"505,269",85.1,"475,154",86.2,"85,413",95,"466,959",67.3,"465,007",71.7,"43,281",44.6,"447,800",75.4,"421,726",76.5,"79,574",91.4,"233,266",50,"233,137",50.1,"230,012",51.4,"222,277",52.7,"117,762",67.5,"61,230",76.9,53499,45.4,33606,54.9,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,12,12,12,11,4,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
10/12/2022,47037,41,Davidson County,TN,97.7,"529,469",76.3,"524,903",81,"504,690",85,"474,604",86.1,"85,306",95,"466,361",67.2,"464,523",71.7,"43,212",44.5,"447,356",75.3,"421,311",76.5,"79,487",91.3,"232,407",49.8,"232,290",50,"229,233",51.2,"221,589",52.6,"117,368",67.3,"61,028",76.8,51309,43.7,32388,53.1,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
10/05/2022,47037,40,Davidson County,TN,97.7,"528,760",76.2,"524,363",80.9,"504,213",84.9,"474,151",86,"85,224",95,"465,768",67.1,"464,066",71.6,"43,135",44.4,"446,945",75.3,"420,931",76.4,"79,399",91.2,"231,518",49.7,"231,409",49.9,"228,417",51.1,"220,891",52.5,"116,994",67.2,"60,843",76.6,49377,42.2,31265,51.4,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
09/28/2022,47037,39,Davidson County,TN,97.7,"528,070",76.1,"523,838",80.8,"503,761",84.8,"473,732",86,"85,144",95,"464,960",67,"463,397",71.5,"43,054",44.4,"446,328",75.2,"420,343",76.3,"79,317",91.1,"230,594",49.6,"230,508",49.7,"227,600",51,"220,162",52.4,"116,634",67,"60,641",76.5,47697,40.9,30294,50,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
09/21/2022,47037,38,Davidson County,TN,97.8,"527,309",76,"523,246",80.7,"503,229",84.7,"473,238",85.9,"85,076",95,"464,350",66.9,"462,894",71.4,"42,968",44.3,"445,876",75.1,"419,926",76.2,"79,235",91.1,"229,749",49.5,"229,691",49.6,"226,888",50.9,"219,535",52.3,"116,311",66.9,"60,472",76.3,46132,39.7,29391,48.6,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
09/14/2022,47037,37,Davidson County,TN,97.8,"526,408",75.8,"522,558",80.6,"502,626",84.6,"472,675",85.8,"84,992",95,"463,590",66.8,"462,269",71.3,"42,854",44.2,"445,327",75,"419,415",76.1,"79,153",91,"228,925",49.4,"228,895",49.5,"226,175",50.8,"218,899",52.2,"116,026",66.8,"60,320",76.2,44710,38.5,28600,47.4,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
09/07/2022,47037,36,Davidson County,TN,97.8,"525,694",75.7,"522,043",80.5,"502,187",84.6,"472,291",85.7,"84,947",95,"462,875",66.7,"461,800",71.3,"42,721",44,"444,941",74.9,"419,079",76,"79,108",90.9,"228,343",49.3,"228,331",49.4,"225,682",50.7,"218,459",52.1,"115,819",66.7,"60,233",76.1,43977,38,28221,46.9,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
08/31/2022,47037,35,Davidson County,TN,97.8,"525,347",75.7,"521,824",80.5,"502,023",84.5,"472,150",85.7,"84,939",95,"462,626",66.6,"461,600",71.2,"42,649",43.9,"444,792",74.9,"418,951",76,"79,094",90.9,"228,114",49.3,"228,102",49.4,"225,511",50.7,"218,323",52.1,"115,770",66.7,"60,216",76.1,43797,37.8,28111,46.7,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
08/24/2022,47037,34,Davidson County,TN,97.8,"524,765",75.6,"521,445",80.5,"501,722",84.5,"471,895",85.6,"84,915",95,"462,190",66.6,"461,247",71.2,"42,488",43.8,"444,547",74.9,"418,759",76,"79,069",90.9,"227,695",49.3,"227,683",49.4,"225,174",50.7,"218,057",52.1,"115,662",66.7,"60,166",76.1,43370,37.5,27890,46.4,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
08/17/2022,47037,33,Davidson County,TN,97.8,"523,494",75.4,"520,994",80.4,"501,378",84.4,"471,628",85.6,"84,877",95,"461,281",66.5,"460,820",71.1,"42,288",43.6,"444,264",74.8,"418,532",75.9,"79,038",90.8,"227,079",49.2,"227,069",49.3,"224,734",50.6,"217,720",52,"115,503",66.6,"60,101",76,42856,37.1,27594,45.9,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
08/10/2022,47037,32,Davidson County,TN,97.8,"522,869",75.3,"520,554",80.3,"501,036",84.4,"471,356",85.5,"84,833",95,"460,898",66.4,"460,480",71,"42,143",43.4,"444,008",74.8,"418,337",75.9,"79,007",90.8,"226,573",49.2,"226,563",49.2,"224,317",50.5,"217,381",52,"115,359",66.5,"60,036",76,42215,36.6,27213,45.3,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
08/03/2022,47037,31,Davidson County,TN,97.8,"522,018",75.2,"519,991",80.2,"500,644",84.3,"471,050",85.5,"84,795",95,"460,043",66.3,"459,778",70.9,"41,936",43.2,"443,444",74.7,"417,842",75.8,"78,968",90.7,"225,786",49.1,"225,776",49.1,"223,715",50.4,"216,906",51.9,"115,149",66.5,"59,952",75.9,41373,35.9,26748,44.6,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
07/27/2022,47037,30,Davidson County,TN,97.8,"521,262",75.1,"519,496",80.2,"500,345",84.3,"470,849",85.4,"84,759",95,"459,581",66.2,"459,437",70.9,"41,793",43.1,"443,187",74.6,"417,644",75.8,"78,938",90.7,"224,966",49,"224,956",49,"223,073",50.3,"216,388",51.8,"114,909",66.4,"59,862",75.8,40078,34.9,26009,43.4,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
07/20/2022,47037,29,Davidson County,TN,97.8,"520,407",75,"518,926",80.1,"499,941",84.2,"470,517",85.4,"84,704",95,"459,039",66.1,"458,962",70.8,"41,636",42.9,"442,807",74.6,"417,326",75.7,"78,868",90.6,"224,005",48.8,"223,996",48.8,"222,302",50.2,"215,748",51.7,"114,604",66.2,"59,726",75.7,,,,,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
07/13/2022,47037,28,Davidson County,TN,97.8,"519,516",74.8,"518,341",80,"499,514",84.1,"470,166",85.3,"84,673",95,"458,574",66.1,"458,531",70.7,"41,497",42.8,"442,463",74.5,"417,034",75.7,"78,819",90.6,"223,131",48.7,"223,122",48.7,"221,606",50.1,"215,177",51.6,"114,300",66.1,"59,603",75.6,,,,,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
07/06/2022,47037,27,Davidson County,TN,97.8,"518,691",74.7,"517,895",79.9,"499,166",84.1,"469,865",85.3,"84,639",95,"458,211",66,"458,173",70.7,"41,383",42.6,"442,188",74.5,"416,790",75.6,"78,786",90.5,"222,410",48.5,"222,403",48.5,"221,048",50,"214,720",51.5,"114,085",66,"59,525",75.6,,,,,C,11,11,11,11,11,12,Metro,3,3,3,3,3,4,11,12,12,11,3,4,4,3,"694,144","648,128","97,057","593,793","551,071","87,023"
