"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-08",100.8929,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-09",100.8929,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-10",101.0988,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-11",101.3715,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2019-12",101.6026,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-01",101.601,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-02",101.1666,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-03",100.1539,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-04",99.0524,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-05",98.54501,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-06",98.49448,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-07",98.51203,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-08",98.71681,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-09",99.03383,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-10",99.18475,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-11",99.14101,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2020-12",99.14413,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-01",99.1503,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-02",99.29194,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-03",99.66364,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-04",99.91155,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-05",99.85197,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-06",99.63898,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-07",99.16397,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-08",98.58639,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-09",98.28316,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-10",98.09375,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-11",97.92902,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2021-12",97.82616,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-01",97.58774,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-02",97.27576,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-03",97.03448,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-04",96.86448,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-05",96.44828,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-06",96.0294,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-07",95.99727,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-08",96.27924,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-09",96.55611,
"USA","CCI","AMPLITUD","LTRENDIDX","M","2022-10",96.79916,
